City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bengkulu,ID,83.77,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
2,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
4,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
5,Pringsewu,ID,84.72,broken clouds,-5.3582,104.9744,Urban Style by Front One
8,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
10,Caliling,PH,84.6,light rain,9.9804,122.4814,Camp Canaan
12,Cherskiy,RU,80.46,light rain,68.75,161.3,Gostinitsa
15,Jamestown,US,78.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
16,Atuona,PF,77.74,scattered clouds,-9.8,-139.0333,Villa Enata
17,Tual,ID,79.48,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
20,San Patricio,US,84.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
23,Conway,US,80.4,few clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
28,Roura,GF,75.96,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
30,Ca Mau,VN,77.97,moderate rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
32,Cabo San Lucas,MX,85.3,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
38,Awbari,LY,83.8,clear sky,26.5921,12.7805,فندق أوباري
39,Cockburn Town,TC,81.79,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
42,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Vaini,TO,77.16,clear sky,-21.2,-175.2,Keleti Beach Resort
49,San Pedro,PH,85.23,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
50,Shimoda,JP,82.76,light rain,34.6667,138.95,Shimoda Tokyu Hotel
53,Sestu,IT,76.64,clear sky,39.2943,9.093,Holiday Inn Cagliari
55,San Policarpo,PH,83.64,overcast clouds,12.1791,125.5072,Agapita M. Nicart
58,Hilo,US,76.73,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Amga,RU,79.59,overcast clouds,60.8953,131.9608,Algys
65,Isangel,VU,76.1,broken clouds,-19.55,169.2667,Tanna Lodge
71,Idlib,SY,79.74,clear sky,35.9306,36.6339,مركز تسيل للتجميل
