City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vostok,RU,46.4856,135.8833,70.72,85,42,2.62,scattered clouds
1,Bengkulu,ID,-3.8004,102.2655,83.77,68,80,6.96,broken clouds
2,Georgetown,MY,5.4112,100.3354,80.53,93,40,7.0,scattered clouds
3,Busselton,AU,-33.65,115.3333,63.63,61,36,12.44,scattered clouds
4,Salalah,OM,17.0151,54.0924,77.09,94,100,8.05,overcast clouds
5,Pringsewu,ID,-5.3582,104.9744,84.72,72,82,3.91,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,52.72,78,66,1.01,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,32.11,80,75,6.91,broken clouds
8,Kahului,US,20.8947,-156.47,78.82,70,20,18.41,few clouds
9,Dikson,RU,73.5069,80.5464,38.3,88,73,5.21,broken clouds
10,Caliling,PH,9.9804,122.4814,84.6,70,100,9.53,light rain
11,Albany,US,42.6001,-73.9662,74.41,66,24,7.9,few clouds
12,Cherskiy,RU,68.75,161.3,80.46,51,82,6.49,light rain
13,Mataura,NZ,-46.1927,168.8643,42.48,96,100,9.64,light rain
14,Bredasdorp,ZA,-34.5322,20.0403,47.37,86,0,5.39,clear sky
15,Jamestown,US,42.097,-79.2353,78.39,68,100,9.22,overcast clouds
16,Atuona,PF,-9.8,-139.0333,77.74,73,26,17.2,scattered clouds
17,Tual,ID,-5.6667,132.75,79.48,79,100,17.87,overcast clouds
18,Half Moon Bay,US,37.4636,-122.4286,67.53,87,100,14.97,mist
19,Ponta Do Sol,PT,32.6667,-17.1,68.63,69,31,5.23,scattered clouds
20,San Patricio,US,28.017,-97.5169,84.88,80,13,17.05,few clouds
21,Hermanus,ZA,-34.4187,19.2345,47.8,79,2,7.76,clear sky
22,Husavik,IS,66.0449,-17.3389,45.07,98,100,18.12,light rain
23,Conway,US,35.0887,-92.4421,80.4,72,20,0.0,few clouds
24,Margate,GB,51.3813,1.3862,67.89,80,98,1.01,overcast clouds
25,Saint-Philippe,RE,-21.3585,55.7679,73.22,67,36,16.11,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,37.06,60,75,3.44,broken clouds
27,Hobart,AU,-42.8794,147.3294,53.06,77,40,9.22,scattered clouds
28,Roura,GF,4.7263,-52.3274,75.96,100,0,0.0,clear sky
29,Nanortalik,GL,60.1432,-45.2371,40.39,92,100,8.43,overcast clouds
30,Ca Mau,VN,9.1769,105.15,77.97,89,100,17.72,moderate rain
31,Rikitea,PF,-23.1203,-134.9692,74.71,75,1,12.57,clear sky
